DATA,COMPETENCIA,VALOR_FATURAMENTO,SINISTRALIDADE,imputado,SINISTRALIDADE_PREVISTA,forecast_p05,forecast_p25,forecast_p75,forecast_p95,REGISTO
2023-09-01,2023-09,359948.16,1.074114672993271,False,,,,,,historico
2023-10-01,2023-10,360977.75999999995,1.384676228350024,False,,,,,,historico
2023-11-01,2023-11,359742.24,1.087038724459886,False,,,,,,historico
2023-12-01,2023-12,364684.31999999995,1.5525619501122123,False,,,,,,historico
2024-01-01,2024-01,366125.75999999995,1.3671909357680834,False,,,,,,historico
2024-02-01,2024-02,370450.07999999996,0.9166095375844802,False,,,,,,historico
2024-03-01,2024-03,394336.8,0.8388722245442535,False,,,,,,historico
2024-04-01,2024-04,405662.39999999997,1.0359590045727525,False,,,,,,historico
2024-05-01,2024-05,407721.6,1.117319631415974,False,,,,,,historico
2024-06-01,2024-06,414311.04,1.1872698678586373,False,,,,,,historico
2024-07-01,2024-07,399278.88,1.4473176295617758,False,,,,,,historico
2024-08-01,2024-08,400308.48,0.7821591398580623,False,1.0645718574523926,,,,,teste
2024-09-01,2024-09,433993.16,0.8002599431545636,False,1.0916805267333984,,,,,teste
2024-10-01,2024-10,440788.45999999996,0.8500220158515581,False,1.1209951639175415,,,,,teste
2024-11-01,2024-11,499907.57,0.8733859893102581,False,1.1059224605560303,,,,,teste
2024-12-01,2024-12,494471.32999999996,0.6890034343219879,False,1.070233941078186,,,,,teste
2025-01-01,2025-01,496056.89999999997,1.0261728461950004,False,1.0100340843200684,,,,,teste
2025-02-01,2025-02,489714.62,0.8513922996155383,False,0.9216143488883972,,,,,teste
2025-03-01,2025-03,492602.69,0.8957176780124699,False,0.9346405267715454,,,,,teste
2025-04-01,2025-04,487040.32999999996,0.9501915702701619,False,0.9470680356025696,,,,,teste
2025-05-01,2025-05,488846.37,1.0401203567274506,False,0.9551069736480713,,,,,teste
2025-06-01,2025-06,483986.12,1.1586995972637455,False,0.9665093421936035,,,,,teste
2025-07-01,2025-07,481613.14999999997,0.9243713289384649,False,1.0229836702346802,,,,,teste
2025-08-01,2025-08,521518.63,0.8677559865238937,False,1.0181312561035156,,,,,teste
2025-09-01,2025-09,526188.07,0.9990670390826463,False,1.03840172290802,,,,,teste
2025-10-01,2025-10,521658.38,0.9237140892500976,False,1.052293300628662,,,,,teste
2025-11-01,2025-11,,,False,0.9943937749438573,0.981883132297498,0.9893462973364056,1.00068787279126,1.012998314439265,previsao
2025-12-01,2025-12,,,False,0.9832467006101402,0.9688108780242644,0.9776228617022622,0.9895431912295061,1.0014738970804693,previsao
2026-01-01,2026-01,,,False,0.9597897429561634,0.9421635120692132,0.9514505891341551,0.9682772821697739,0.976772850673979,previsao
2026-02-01,2026-02,,,False,0.966413776146974,0.9471234071725557,0.9574743603561453,0.975788568667824,0.9857033979739092,previsao
2026-03-01,2026-03,,,False,0.9804024056168908,0.9590531306992197,0.9714305787896904,0.9891422932765659,1.003000142334718,previsao
2026-04-01,2026-04,,,False,0.9772061632213227,0.9526063010771573,0.9665059626967991,0.9873110146787843,1.0023787539884093,previsao
2026-05-01,2026-05,,,False,0.9841453741934844,0.9568145675988892,0.9726686479333015,0.9950713692734984,1.0129053272373398,previsao
2026-06-01,2026-06,,,False,0.9820656457774883,0.9530248071643161,0.9693083498054451,0.9937680925489603,1.0117852079096077,previsao
2026-07-01,2026-07,,,False,0.981843757219061,0.9513086489378068,0.9680565812754017,0.9945638819139809,1.012916537647189,previsao
2026-08-01,2026-08,,,False,0.9849373406918878,0.9527596222747372,0.9707211564694781,0.9975873869522928,1.017890240485006,previsao
2026-09-01,2026-09,,,False,0.9872816987585409,0.9535396049136102,0.9724597071790054,1.0003523144019204,1.021987629609452,previsao
2026-10-01,2026-10,,,False,0.9879664089447836,0.9527614873939817,0.9723561061083671,1.0016696080362073,1.0241226679488518,previsao
